Htno,Subcode,Subname,Grade,Credits
20L31A5461,1005201203,Data Structures,A,3
20L31A5461,1005201211,Web Design Lab,O,1.5
20L31A5461,1005201212,Data Structures Lab,A,1.5
20L31A5461,1000201213,Physics of Materials Lab,O,1.5
20L31A5461,1000201214,R Programming for Data Science Lab,O,1.5
20L31A5461,1000201121,Constitution of India,CP,-
20L31A5462,1000201205,Statistics for Data Science-I,A,3
20L31A5462,1005201201,Computer Organization,B,3
20L31A5462,1005201202,Web Design,C,3
20L31A5462,1005201203,Data Structures,A,3
20L31A5462,1005201211,Web Design Lab,O,1.5
20L31A5462,1005201212,Data Structures Lab,A,1.5
20L31A5462,1000201213,Physics of Materials Lab,O,1.5
20L31A5462,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5462,1000201121,Constitution of India,CP,-
20L31A5463,1000201205,Statistics for Data Science-I,A,3
20L31A5463,1005201201,Computer Organization,C,3
20L31A5463,1005201202,Web Design,C,3
20L31A5463,1005201203,Data Structures,A,3
20L31A5463,1005201211,Web Design Lab,O,1.5
20L31A5463,1005201212,Data Structures Lab,C,1.5
Htno,Subcode,Subname,Grade,Credits
20L31A5463,1000201213,Physics of Materials Lab,O,1.5
20L31A5463,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5463,1000201121,Constitution of India,CP,-
20L31A5464,1000201205,Statistics for Data Science-I,O,3
20L31A5464,1005201201,Computer Organization,A,3
20L31A5464,1005201202,Web Design,C,3
20L31A5464,1005201203,Data Structures,A,3
20L31A5464,1005201211,Web Design Lab,O,1.5
20L31A5464,1005201212,Data Structures Lab,B,1.5
20L31A5464,1000201213,Physics of Materials Lab,O,1.5
20L31A5464,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5464,1000201121,Constitution of India,CP,-
