Htno,Subcode,Subname,Grade,Credits
20L31A5415,1005201212,Data Structures Lab,A,1.5
20L31A5415,1000201213,Physics of Materials Lab,O,1.5
20L31A5415,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5415,1000201121,Constitution of India,CP,-
20L31A5416,1000201205,Statistics for Data Science-I,B,3
20L31A5416,1005201201,Computer Organization,A,3
20L31A5416,1005201202,Web Design,C,3
20L31A5416,1005201203,Data Structures,B,3
20L31A5416,1005201211,Web Design Lab,A,1.5
20L31A5416,1005201212,Data Structures Lab,B,1.5
20L31A5416,1000201213,Physics of Materials Lab,A,1.5
20L31A5416,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5416,1000201121,Constitution of India,CP,-
20L31A5417,1000201205,Statistics for Data Science-I,F,0
20L31A5417,1005201201,Computer Organization,D,3
20L31A5417,1005201202,Web Design,D,3
20L31A5417,1005201203,Data Structures,D,3
20L31A5417,1005201211,Web Design Lab,A,1.5
20L31A5417,1005201212,Data Structures Lab,C,1.5
20L31A5417,1000201213,Physics of Materials Lab,A,1.5
20L31A5417,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5417,1000201121,Constitution of India,CP,-
20L31A5418,1000201205,Statistics for Data Science-I,O,3
20L31A5418,1005201201,Computer Organization,O,3
20L31A5418,1005201202,Web Design,B,3
Htno,Subcode,Subname,Grade,Credits
20L31A5418,1005201203,Data Structures,A,3
20L31A5418,1005201211,Web Design Lab,O,1.5
20L31A5418,1005201212,Data Structures Lab,A,1.5
20L31A5418,1000201213,Physics of Materials Lab,O,1.5
20L31A5418,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5418,1000201121,Constitution of India,CP,-
20L31A5419,1000201205,Statistics for Data Science-I,A,3
20L31A5419,1005201201,Computer Organization,B,3
20L31A5419,1005201202,Web Design,C,3
20L31A5419,1005201203,Data Structures,B,3
20L31A5419,1005201211,Web Design Lab,O,1.5
20L31A5419,1005201212,Data Structures Lab,B,1.5
20L31A5419,1000201213,Physics of Materials Lab,O,1.5
20L31A5419,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5419,1000201121,Constitution of India,CP,-
20L31A5420,1000201205,Statistics for Data Science-I,A,3
20L31A5420,1005201201,Computer Organization,F,0
20L31A5420,1005201202,Web Design,C,3
20L31A5420,1005201203,Data Structures,C,3
20L31A5420,1005201211,Web Design Lab,O,1.5
20L31A5420,1005201212,Data Structures Lab,B,1.5
20L31A5420,1000201213,Physics of Materials Lab,A,1.5
20L31A5420,1000201214,R Programming for Data Science Lab,O,1.5
20L31A5420,1000201121,Constitution of India,CP,-
20L31A5421,1000201205,Statistics for Data Science-I,F,0
20L31A5421,1005201201,Computer Organization,F,0
20L31A5421,1005201202,Web Design,D,3
20L31A5421,1005201203,Data Structures,F,0
20L31A5421,1005201211,Web Design Lab,A,1.5
20L31A5421,1005201212,Data Structures Lab,B,1.5
20L31A5421,1000201213,Physics of Materials Lab,A,1.5
20L31A5421,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5421,1000201121,Constitution of India,CP,-
20L31A5422,1000201205,Statistics for Data Science-I,F,0
20L31A5422,1005201201,Computer Organization,F,0
20L31A5422,1005201202,Web Design,D,3
20L31A5422,1005201203,Data Structures,D,3
20L31A5422,1005201211,Web Design Lab,O,1.5
20L31A5422,1005201212,Data Structures Lab,B,1.5
20L31A5422,1000201213,Physics of Materials Lab,A,1.5
20L31A5422,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5422,1000201121,Constitution of India,CP,-
20L31A5423,1000201205,Statistics for Data Science-I,A,3
20L31A5423,1005201201,Computer Organization,A,3
20L31A5423,1005201202,Web Design,C,3
20L31A5423,1005201203,Data Structures,B,3
20L31A5423,1005201211,Web Design Lab,A,1.5
20L31A5423,1005201212,Data Structures Lab,B,1.5
20L31A5423,1000201213,Physics of Materials Lab,A,1.5
20L31A5423,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5423,1000201121,Constitution of India,CP,-
Htno,Subcode,Subname,Grade,Credits
20L31A5424,1000201205,Statistics for Data Science-I,A,3
20L31A5424,1005201201,Computer Organization,D,3
20L31A5424,1005201202,Web Design,C,3
20L31A5424,1005201203,Data Structures,C,3
20L31A5424,1005201211,Web Design Lab,A,1.5
20L31A5424,1005201212,Data Structures Lab,C,1.5
20L31A5424,1000201213,Physics of Materials Lab,O,1.5
20L31A5424,1000201214,R Programming for Data Science Lab,O,1.5
20L31A5424,1000201121,Constitution of India,CP,-
20L31A5425,1000201205,Statistics for Data Science-I,O,3
20L31A5425,1005201201,Computer Organization,B,3
20L31A5425,1005201202,Web Design,C,3
20L31A5425,1005201203,Data Structures,C,3
20L31A5425,1005201211,Web Design Lab,O,1.5
20L31A5425,1005201212,Data Structures Lab,B,1.5
20L31A5425,1000201213,Physics of Materials Lab,O,1.5
20L31A5425,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5425,1000201121,Constitution of India,CP,-
20L31A5426,1000201205,Statistics for Data Science-I,O,3
20L31A5426,1005201201,Computer Organization,A,3
20L31A5426,1005201202,Web Design,B,3
20L31A5426,1005201203,Data Structures,A,3
20L31A5426,1005201211,Web Design Lab,O,1.5
20L31A5426,1005201212,Data Structures Lab,O,1.5
20L31A5426,1000201213,Physics of Materials Lab,O,1.5
20L31A5426,1000201214,R Programming for Data Science Lab,O,1.5
20L31A5426,1000201121,Constitution of India,CP,-
20L31A5427,1000201205,Statistics for Data Science-I,C,3
20L31A5427,1005201201,Computer Organization,A,3
20L31A5427,1005201202,Web Design,B,3
20L31A5427,1005201203,Data Structures,B,3
20L31A5427,1005201211,Web Design Lab,A,1.5
20L31A5427,1005201212,Data Structures Lab,O,1.5
20L31A5427,1000201213,Physics of Materials Lab,O,1.5
20L31A5427,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5427,1000201121,Constitution of India,CP,-
20L31A5428,1000201205,Statistics for Data Science-I,O,3
20L31A5428,1005201201,Computer Organization,A,3
20L31A5428,1005201202,Web Design,C,3
20L31A5428,1005201203,Data Structures,B,3
20L31A5428,1005201211,Web Design Lab,O,1.5
20L31A5428,1005201212,Data Structures Lab,B,1.5
20L31A5428,1000201213,Physics of Materials Lab,O,1.5
20L31A5428,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5428,1000201121,Constitution of India,CP,-
20L31A5429,1000201205,Statistics for Data Science-I,B,3
20L31A5429,1005201201,Computer Organization,D,3
20L31A5429,1005201202,Web Design,C,3
